0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:28:45 +0700] "GET /test/%EF%BF%BDPNG%1A%EF%BF%BD%EF%BF%BD%EF%BF%BDIHDR%EF%BF%BD%EF%BF%BD%02%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%08%06%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%C3%AC%EF%BF%BD%EF%BF%BD%EF%BF%BD%01sRGB%EF%BF%BD%EF%BF%BD%EF%BF%BD%1C%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%04gAMA%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%0B%EF%BF%BDa%05%EF%BF%BD%EF%BF%BD%EF%BF%BDpHYs%EF%BF%BD%EF%BF%BD%12t%EF%BF%BD%EF%BF%BD%12t%01%EF%BF%BDf%1Fx%EF%BF%BD%EF%BF%BD%14,IDATx%5E%EF%BF%BD%DD%BF%EF%BF%BD HTTP/1.1" 404 1225
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:28:47 +0700] "GET /test/searchSV?masv=21it010 HTTP/1.1" 200 584
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:28:47 +0700] "GET /test/imgStd/21IT010.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:30:07 +0700] "GET /test/view.jsp HTTP/1.1" 500 5284
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:30:07 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:31:20 +0700] "GET /test/searchSV?masv=21it010 HTTP/1.1" 200 528
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:31:39 +0700] "GET /test/index.jsp HTTP/1.1" 200 7569
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:31:42 +0700] "GET /test/searchSV?masv=21it010 HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:31:57 +0700] "GET /test/index.jsp HTTP/1.1" 200 7569
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:32:00 +0700] "GET /test/searchSV?masv=21IT088 HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:32:02 +0700] "GET /test/searchSV?masv=123 HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:32:03 +0700] "GET /test/viewImg.jsp HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:32:54 +0700] "GET /test/searchSV?masv=123 HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:33:05 +0700] "GET /test/index.jsp HTTP/1.1" 200 7569
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:33:07 +0700] "GET /test/searchSV?masv=123 HTTP/1.1" 200 487
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:37:38 +0700] "GET /test/viewImg HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:38:32 +0700] "GET /test/viewImg HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:38:38 +0700] "GET /test/index.jsp HTTP/1.1" 200 7569
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:38:40 +0700] "GET /test/searchSV?masv=123 HTTP/1.1" 200 486
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:38:41 +0700] "GET /test/index.jsp HTTP/1.1" 200 7569
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:38:43 +0700] "GET /test/searchSV?masv=123 HTTP/1.1" 200 486
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:40:39 +0700] "GET /test/index.jsp HTTP/1.1" 200 7647
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:40:40 +0700] "GET /test/viewImg HTTP/1.1" 200 5284
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:40:44 +0700] "GET /test/searchSV?masv=123 HTTP/1.1" 200 487
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:41:25 +0700] "GET /test/index.jsp HTTP/1.1" 200 7687
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:41:28 +0700] "GET /test/searchSV?masv=123 HTTP/1.1" 200 489
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:41:29 +0700] "GET /test/viewImg HTTP/1.1" 200 5284
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:41:32 +0700] "GET /test/searchSV?masv=455 HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:41:35 +0700] "GET /test/searchSV?masv=21it010 HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:43:52 +0700] "GET /test/index.jsp HTTP/1.1" 200 7758
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:43:55 +0700] "GET /test/searchSV?masv=123 HTTP/1.1" 200 489
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:43:56 +0700] "GET /test/viewImg?sid=123 HTTP/1.1" 200 5284
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:44:02 +0700] "GET /test/searchSV?masv=21it010 HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:44:03 +0700] "GET /test/viewImg?sid=21it010 HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:44:48 +0700] "GET /test/viewImg?sid=21it010 HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:45:52 +0700] "GET /test/login.jsp HTTP/1.1" 200 6542
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:45:52 +0700] "GET /test/css/bootstrap.min.css HTTP/1.1" 200 168256
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:45:52 +0700] "GET /test/css/aos.css HTTP/1.1" 200 29366
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:45:52 +0700] "GET /img/login_bg_header.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:45:52 +0700] "GET /test/images/background.jpg HTTP/1.1" 200 350265
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:45:56 +0700] "POST /test/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:45:56 +0700] "GET /test/index.jsp HTTP/1.1" 200 8917
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:45:58 +0700] "GET /test/quanlySV HTTP/1.1" 200 12511
0:0:0:0:0:0:0:1 - - [03/Jul/2022:21:46:08 +0700] "GET /test/updateStd?sid=123 HTTP/1.1" 200 6899
